,state,county,tract,Total,White,Black,AmericanIndian_Alaskn,Asian,PacificIsland,Other_Race,Hispanic_Latino
145,4,13,92600,3608,2483,135,60,28,2,776,1830
146,4,13,92703,7158,4800,424,99,115,17,1479,3131
147,4,13,92704,120,91,0,3,0,0,17,99
148,4,13,92705,2471,1659,147,68,48,10,435,1255
149,4,13,92706,6335,4751,334,63,131,9,804,1599
150,4,13,92707,6339,5448,197,28,91,6,427,885
151,4,13,92708,447,392,5,6,11,0,15,67
152,4,13,92709,3947,3136,128,39,88,1,454,1029
153,4,13,92710,4389,3353,268,84,74,3,467,1059
154,4,13,92711,2132,1471,101,45,31,0,364,838
155,4,13,92712,3616,2263,326,64,92,11,662,1245
156,4,13,92713,4458,2675,292,37,177,11,1064,1800
157,4,13,92714,5195,2871,529,92,79,10,1370,2195
158,4,13,92800,11269,5051,714,281,45,12,4656,7258
159,4,13,92900,3464,2087,157,58,20,3,965,2658
160,4,13,93000,9614,6189,768,307,102,26,1779,3511
161,4,13,93101,4332,2591,504,93,97,6,806,1454
162,4,13,93102,9821,5605,749,219,96,14,2627,4463
163,4,13,93104,3885,2107,453,228,41,9,825,1351
164,4,13,103205,2903,2760,22,7,28,6,37,123
165,4,13,103206,2761,2681,5,9,26,1,16,108
166,4,13,103207,2649,2507,26,8,30,1,18,116
167,4,13,103208,3563,3350,35,8,59,0,68,154
168,4,13,103209,6193,5754,80,30,151,5,74,304
169,4,13,103210,6493,5531,178,59,148,14,314,683
170,4,13,103211,4877,4540,45,10,105,4,89,297
171,4,13,103212,4942,4735,35,9,82,0,32,157
172,4,13,103214,4439,4146,53,11,110,4,51,170
173,4,13,103215,3177,2968,33,16,76,0,29,114
174,4,13,103216,5532,5135,66,23,116,1,59,296
175,4,13,103217,6818,6360,91,13,203,2,65,301
176,4,13,103218,6313,5870,53,8,189,8,77,284
177,4,13,103302,6993,5701,115,50,79,15,757,1499
178,4,13,103303,3679,3327,44,14,67,1,178,395
179,4,13,103304,4637,3303,123,78,41,9,904,2635
180,4,13,103305,3524,2233,41,65,14,1,1057,1881
181,4,13,103306,3920,2670,111,94,42,11,825,1723
182,4,13,103400,5193,4570,86,45,46,3,309,738
183,4,13,103501,3269,2712,62,16,75,8,295,491
184,4,13,103502,6298,5690,67,53,120,5,240,573
185,4,13,103604,3853,3322,54,42,204,11,123,425
186,4,13,103605,6496,6063,66,33,175,7,78,322
187,4,13,103606,4045,3573,46,46,112,8,155,467
188,4,13,103607,4870,4343,74,21,201,3,159,338
189,4,13,103608,2648,2169,82,49,89,1,129,415
190,4,13,103609,5422,4459,278,105,142,10,234,620
191,4,13,103611,4732,4365,61,17,162,2,41,205
192,4,13,103612,4876,4358,141,34,119,6,92,354
193,4,13,103614,3306,3072,36,6,58,11,58,254
194,4,13,103615,5373,3572,265,166,126,1,1018,2505
195,4,13,103700,7665,6656,185,84,224,6,367,880
196,4,13,103900,6050,5141,167,95,101,2,405,939
197,4,13,104000,6134,5070,190,94,130,12,436,960
198,4,13,104100,6678,5676,166,79,99,1,442,1078
199,4,13,104202,5360,4731,142,50,92,10,231,608
200,4,13,104203,6433,5553,212,100,158,7,246,932
201,4,13,104204,3506,3059,76,25,66,21,161,436
202,4,13,104205,5009,4009,261,85,137,12,369,742
203,4,13,104206,4289,3533,179,67,108,3,305,810
204,4,13,104207,4130,3661,100,31,113,6,115,355
205,4,13,104212,6446,5489,152,54,324,7,260,756
206,4,13,104214,2377,2158,55,11,28,2,76,213
207,4,13,104215,4678,4062,77,40,117,10,190,509
208,4,13,104216,5204,4245,59,53,394,6,263,601
209,4,13,104217,5457,4662,138,42,212,3,243,574
210,4,13,104218,4096,3431,122,47,234,16,150,497
211,4,13,104219,3147,2849,67,23,54,1,77,265
212,4,13,104221,6200,5113,227,50,174,9,436,934
213,4,13,104222,5937,4978,195,62,204,4,356,834
214,4,13,104223,1903,1709,38,10,39,0,85,183
215,4,13,104224,6437,5404,232,48,330,9,253,586
216,4,13,104225,4148,3749,73,46,93,10,84,446
217,4,13,104226,3892,3465,90,34,99,4,127,363
218,4,13,104227,2245,1874,88,23,31,5,156,324
219,4,13,104300,7441,6156,299,176,145,41,430,1063
220,4,13,104400,7043,5320,266,155,434,8,654,1361
221,4,13,104501,4603,2853,134,145,353,10,938,2429
222,4,13,104502,5574,3027,126,218,262,22,1628,3144
223,4,13,104600,4169,3101,146,107,32,3,588,1432
224,4,13,104700,7723,6258,226,147,66,3,812,2608
225,4,13,104801,3899,3574,28,26,62,4,118,383
226,4,13,104802,6312,5817,96,41,124,8,106,409
227,4,13,104900,4424,4083,65,39,59,7,95,348
228,4,13,105001,8151,7797,51,15,173,1,23,207
229,4,13,105002,2741,2649,20,4,35,1,12,77
230,4,13,105101,4799,4584,37,7,74,1,29,174
231,4,13,105102,4333,4032,33,20,134,4,44,216
232,4,13,105103,3121,2971,27,5,64,3,17,85
233,4,13,105200,6615,5243,184,183,124,3,662,1569
234,4,13,105300,5644,4643,90,63,64,3,619,1402
235,4,13,105400,3729,3423,60,37,34,0,106,275
236,4,13,105500,7504,4967,504,456,298,19,896,1608
237,4,13,105601,3613,2816,73,78,48,2,471,1219
238,4,13,105602,5755,4039,554,166,114,4,578,1262
239,4,13,105701,3384,2606,101,52,139,9,344,620
240,4,13,105702,3936,2944,124,74,133,22,491,917
241,4,13,105800,6281,4992,190,103,333,2,457,1229
242,4,13,105900,5371,4239,212,125,181,2,408,1080
243,4,13,106000,7592,5472,462,257,71,8,1033,1921
244,4,13,106100,5172,4499,162,99,47,2,225,564
245,4,13,106200,3453,3295,16,11,53,2,37,136
246,4,13,106300,5311,4468,190,110,74,1,310,823
247,4,13,106400,2911,2560,59,68,72,0,88,272
248,4,13,106500,6877,5997,234,126,95,9,260,719
249,4,13,106600,3749,3430,75,35,64,6,73,277
250,4,13,106700,6991,5364,453,316,153,5,443,1135
251,4,13,106800,8434,5179,717,501,125,26,1443,2730
