GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130061200,Arizona,Maricopa County,61200,2027.09,2213.37,2226,28.87,1.42,24.88,1.12,14,0.63,0,2226,0
G0400130061300,Arizona,Maricopa County,61300,791.34,711.7,726,9.18,1.16,6.12,0.86,12,1.65,0,726,0
G0400130061401,Arizona,Maricopa County,61401,743.79,676.02,700,9.96,1.34,2,0.3,4,0.57,60,700,8.57
G0400130061402,Arizona,Maricopa County,61402,1000.78,1017.91,1852,22.99,2.3,11,1.08,64,3.46,0,1852,0
G0400130071503,Arizona,Maricopa County,71503,3720,3642,3746,211,5.67,106,2.91,178,4.75,0,3746,0
G0400130071504,Arizona,Maricopa County,71504,2635,2626,2627,59,2.24,52,1.98,65,2.47,35,2627,1.33
G0400130071505,Arizona,Maricopa County,71505,3543.35,3847.82,4207,104.95,2.96,107.96,2.81,147,3.49,110,4207,2.61
G0400130071506,Arizona,Maricopa County,71506,2815,2850,2876,57,2.02,67,2.35,62,2.16,0,2876,0
G0400130071509,Arizona,Maricopa County,71509,204,1037,2244,9,4.41,11,1.06,16,0.71,0,2244,0
G0400130071510,Arizona,Maricopa County,71510,731,1329,1355,23,3.15,6,0.45,16,1.18,21,1355,1.55
G0400130071511,Arizona,Maricopa County,71511,721,917,1480,18,2.5,13,1.42,16,1.08,23,1480,1.55
G0400130071512,Arizona,Maricopa County,71512,1476,2015,2143,59,4,11,0.55,31,1.45,15,2143,0.7
G0400130071513,Arizona,Maricopa County,71513,367,415,588,8,2.18,11,2.65,11,1.87,0,588,0
G0400130071514,Arizona,Maricopa County,71514,17.15,1539,1597,4.23,24.66,16,1.04,27,1.69,9,1597,0.56
G0400130071515,Arizona,Maricopa County,71515,486.85,1522,1947,100.77,20.7,22,1.45,35,1.8,25,1947,1.28
G0400130071516,Arizona,Maricopa County,71516,1438.69,1532,2217,38.07,2.65,58,3.79,42,1.89,16,2217,0.72
G0400130071517,Arizona,Maricopa County,71517,370.31,1017,1428,11.93,3.22,2,0.2,39,2.73,22,1428,1.54
G0400130071600,Arizona,Maricopa County,71600,1619,1687,1959,54,3.34,22,1.3,40,2.04,0,1959,0
G0400130071701,Arizona,Maricopa County,71701,137,192,968,2,1.46,0,0,37,3.82,45,968,4.65
